StrongWeakAssertExpression	extract_strong_weak_assert_expr
StructurePatternExpr	extract_structure_pattern_expr
SubtractExpr	extract_subtract_expr_stmt
SuperExpression	extract_super_expression
SyncAcceptSequenceExpr	extract_sync_accept_sequence_expr
SyncQuickBell	extract_sync_quick_bell
SyncRejectSequenceExpr	extract_sync_reject_sequence_expr
SyncRejectWeakSequenceExpr	extract_sync_reject_weak_sequence_expr
SyncSequenceExpr	extract_sync_sequence_expr
SyncSharpBell	extract_sync_sharp_bell
SystemMethodCallExpression	extract_system_method_call_expression
TaggedPatternExpr	extract_tagged_pattern_expr
TaggedPatternExpression	extract_tagged_pattern_expr
TaggedPatternKind	extract_tagged_pattern_kind
TaggedUnionExpr	extract_tagged_union_expr
TaskPrototype	extract_task_prototype
TaskSubroutine	extract_task_subroutine
ThisExpression	extract_this_expression
ThroughoutFirstMatchSequenceExpr	extract_throughout_first_match_seq_expr
TimeLiteral	extract_time_literal
TimeLiteralExpr	extract_time_literal_expr
TimeSkewTimingCheck	extract_time_skew_timing_check
TimedStatement	extract_timed_statement
TimingControlEvent	extract_timing_control_event
TimingControlSequence	extract_timing_control_sequence
TimingControlStatementExpression	extract_timing_control_stmt_expression
TimingControlWithExpression	extract_timing_control_with_expression
TimingDeclarationStatement	extract_timing_decl_stmt
TypeOptionExpression	extract_type_option
TypeType	extract_type_type
TypedPortDeclaration	extract_typed_port_declaration
TypedVariableDeclaration	extract_typed_variable_declaration
TypedefExpression	extract_typedef_expression
UnaryAndExpr	extract_unary_and_expr
UnaryAndExpression	extract_unary_and_expression
UnaryAssertExpression	extract_unary_assert_expression
UnaryExpression	extract_unary
UnaryMinusExpr	extract_unary_minus_expr
UnaryNandExpr	extract_unary_nand_expr
UnaryNandExpression	extract_unary_nand_expression
UnaryNorExpr	extract_unary_nor_expr
UnaryNorExpression	extract_unary_nor_expression
UnaryNotExpr	extract_unary_not_expr
UnaryOperator	extract_unary_operator
UnaryOrExpr	extract_unary_or_expr
UnaryOrExpression	extract_unary_or_expression
UnaryPlusExpr	extract_unary_plus_expr
UnaryTildeExpr	extract_unary_tilde_expr
UnaryXnorExpr	extract_unary_xnor_expr
UnaryXnorExpression	extract_unary_xnor_expression
UnaryXorExpr	extract_unary_xor_expr
UnaryXorExpression	extract_unary_xor_expression
UnbasedUnsizedLiteral	extract_unbased_unsized_literal
UnbasedUnsizedLiteralExpr	extract_unbased_unsized_literal_expr
UnboundedExpression	extract_unbounded_expression
UnboundedLiteral	extract_unbounded_literal
UniqueConstraint	extract_unique_constraint
UniquenessConstraintExpr	extract_uniqueness_constraint_expr
UnknownDimension	extract_unknown_dimension
UnknownTrivia	extract_unknown_trivia
UntypedType	extract_untyped_type
VariableDeclarationExpression	extract_variable_declaration_expression
VariableDeclarationStatement	extract_variable_declaration_statement
VariableDeclarationStatement	extract_variable_declaration_stmt
VariablePatternBinding	extract_variable_pattern_binding
VariablePatternExpr	extract_variable_pattern_expr
VoidCastedVarianceExpression	extract_void_casted_variance
VoidExpression	extract_void_expression
VoidMethodCallSequence	extract_void_method_call_seq
WaitForkExpression	extract_wait_fork_expression
WaitForkStatementExpression	extract_wait_fork_expression
WaitStatementExpression	extract_wait_statement_expression
WarningElabSystemTask	extract_warning_elab_system_task
WeakParenthesizedProperty	extract_weak_parenthesized_property
WhileLoopStatement	extract_while_loop_statement
WhileLoopStatementExpression	extract_while_loop_expression
WhitespaceTrivia	extract_whitespace_trivia
WidthTimingCheck	extract_width_timing_check
WildcardExpression	extract_wildcard_expression
WildcardLiteral	extract_wildcard_literal
WildcardPatternExpr	extract_wildcard_pattern_expr
WildcardPatternExpression	extract_wildcard_pattern_expr
WildcardPatternExpression	extract_wildcard_pattern_expr
WildcardPatternKind	extract_wildcard_pattern_kind
WithExpression	extract_with_expression_stmt
WithFilterBinsSelectExpr	extract_with_filter_bins_select_expr
WithinFirstMatchSequenceExpr	extract_within_first_match_seq_expr
YieldStatementExpression	extract_yield_expression
